TransactionID,UserID,TransactionAmount,TransactionType,CardType,Timestamp,Merchant,Location,DeviceType,IsFraud
b5919729-a91c-4c5a-91be-08a85becfad7,U3635,206.38,swipe,,2025-01-12T08:15:17,,,desktop,0
afd95224-b1af-42af-a695-8e62532fa7cf,U1694,73.02,ATM,Credit,2025-02-11T13:49:48,,,dsk,0
48ee2912-af4c-487a-bbcd-7ad080f04860,U6928,75.75,ATM,credit,2025-02-24T01:34:19,,,Mobile,0
b6ef8291-0006-453b-9ba9-98e2fc7fe4e2,U9552,3.87,swpie,dbit,2025-01-01T10:01:01,,,mobile,0
3c0cfdb7-a829-4ce9-9c2b-1d7a1a65f152,U8242,130.77,atm,debit,2025-01-17T13:20:40,Stewart-Larsen,,mobile,0
de1c37f8-7eee-4d6e-8ac2-6618de00b3f1,U2404,20.33,swpie,dbit,2025-03-05T19:09:42,,Morganchester,tablet,0
b397bd4c-dae5-4552-aeb7-181ce49bf0ed,U5294,16.07,swipe,credit,2025-03-27T05:32:11,Smith-Garcia,,desktop,0
08c93ba5-87ca-4963-9bf3-429af4e4b628,U6913,135.34,swipe,credt,2025-02-14T07:37:00,,,desktop,0
1c9ee643-07e8-40a6-9c85-f248dbcb9aab,U3838,10.81,swpie,dbit,2025-01-14T16:44:48,Anderson PLC,South Keithborough,dsk,0
f513a349-0aa6-4b19-9b3f-124d35697ad3,U6524,92.09,atm,debit,2025-04-06T20:48:33,,Port Robertside,,0
a3a46e60-32c7-4500-a4fe-0df7c3091a21,U1375,141.35,atm,Debit,2025-03-01T17:06:18,,West Kimberly,,0
b55cc8d5-cc1f-41f7-a297-5c12dd226db5,U2342,9.78,Onlne,debit,2025-01-05T21:19:30,,Hugheston,Mobile,0
5ace4886-02df-4a2f-96f2-77c9c5843d07,U3267,108.38,swpie,credit,2025-04-01T13:30:15,Lopez PLC,,Mobile,0
61007533-c496-4b42-b4a3-4338164158cf,U2083,142.05,online,credit,2025-02-25T22:31:31,"Robinson, Hull and Bruce",,Mobile,0
40d85fad-eb6b-4671-86fb-0fbda7ae3cfd,U1697,85.76,swipe,credit,2025-03-17T17:21:09,,,mobile,0
4a8372b6-9ef1-4e1a-82a3-f93c3361c2bc,U2696,154.28,ATM,debit,2025-02-21T12:33:42,Russo-Williamson,,Mobile,0
04bee6da-85dd-477b-9b0d-62cc1f9259a5,U6641,38.79,online,debit,2025-01-08T08:00:07,"Garcia, Barker and Sullivan",,mobile,0
7d26f9fb-31b0-4e09-8a2b-caf58ff12ed9,U1009,28.43,ATM,dbit,2025-01-31T15:10:33,Warner PLC,,Mobile,0
084db55c-85c5-45e7-8f92-ac527c8597a5,U9375,122.5,ATM,debit,2025-02-17T15:21:22,,,Mobile,0
ace873c5-6fa9-457e-9468-d8e4050ba454,U1534,181.15,swipe,Debit,2025-02-10T00:43:55,Whitney-Smith,Codymouth,dsk,0
bf228196-d815-4834-ae0a-ab9da5fd8f8f,U6016,27.08,swpie,credt,2025-03-06T00:49:32,Suarez-Hopkins,,,0
bd785e48-c04c-44b9-9319-b76d1469200a,U3905,3.64,swpie,Credit,2025-03-20T15:58:59,,,dsk,0
accb09c3-0d7b-4724-becf-302950c816a4,U4985,90.09,swpie,Debit,2025-04-15T19:36:11,Cooke Ltd,South Wesleyport,tablet,0
e42d95a7-b10b-4940-bcab-5bb66ca3270b,U3799,102.41,swipe,credt,2025-01-18T10:28:43,"Robbins, Alvarez and Henry",,dsk,0
c3c90ace-2f37-4225-8f6f-3d4f49587549,U1376,59.26,online,credt,2025-01-16T17:00:30,"Barber, Brewer and Garrison",South Jesse,desktop,0
3af81bed-4271-47c2-aa87-8731a1c9bccf,U7784,262.61,online,credt,2025-01-21T09:52:24,"Welch, Bennett and Smith",,,0
87c1d483-1b04-4b77-bca9-1c4aabf1f447,U5360,305.52,Onlne,credt,2025-02-10T05:35:28,,Lake Stephanieburgh,,0
3d3c7c45-09e0-4168-a03c-5e294893ef66,U1919,7.45,Onlne,Credit,2025-03-14T00:11:46,,,Mobile,0
1ccbee14-984f-4bae-aa35-4cbfe21724e0,U6535,66.8,Onlne,debit,2025-01-07T14:33:18,Lopez-Graves,Port Mark,Mobile,0
8cddc13b-ca03-4ae6-9280-3e3126b9d73f,U2842,18.99,Onlne,debit,2025-03-07T21:11:53,,,desktop,0
21aed516-b914-4be6-8414-e33236f9a667,U9419,55.77,Onlne,Debit,2025-02-04T02:36:51,,,,0
dfefe31a-c442-43ef-b791-e3083001f69e,U8175,162.81,ATM,debit,2025-03-17T11:26:42,"Kelley, Golden and Oliver",Kellyshire,mobile,0
e47abeb5-6072-4c09-b1fe-1ce501e7f54e,U8238,45.47,swpie,debit,2025-01-14T22:12:24,,,tablet,0
c83c4ebe-bde0-41d2-9809-3df0bc8d354b,U3827,67.04,swipe,dbit,2025-01-06T20:18:50,,New Timothy,dsk,0
605ae590-0a68-4100-b4b2-db38db329a90,U1447,0.27,ATM,credit,2025-03-03T18:00:35,,Jordanfurt,dsk,0
